#,Date-Time (EDT),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux)
1,07/13/2023 11:38:39,32.73,16757.76
2,07/13/2023 12:38:39,32.52,23900.16
3,07/13/2023 13:38:39,37.28,26542.08
4,07/13/2023 14:38:39,30.93,9925.12
5,07/13/2023 15:38:39,19.90,2844.16
6,07/13/2023 16:38:39,33.46,17484.80
7,07/13/2023 17:38:39,32.73,30289.92
8,07/13/2023 18:38:39,30.37,23900.16
9,07/13/2023 19:38:39,27.20,8110.08
10,07/13/2023 20:38:39,21.10,512.48
11,07/13/2023 21:38:39,18.02,0.00
12,07/13/2023 22:38:39,17.80,0.00
13,07/13/2023 23:38:39,17.29,0.00
14,07/14/2023 00:38:39,16.73,0.00
15,07/14/2023 01:38:39,16.73,0.00
16,07/14/2023 02:38:39,17.03,0.00
17,07/14/2023 03:38:39,16.99,0.00
18,07/14/2023 04:38:39,15.53,0.00
19,07/14/2023 05:38:39,13.08,270.56
20,07/14/2023 06:38:39,16.47,5095.68
21,07/14/2023 07:38:39,21.96,14213.12
22,07/14/2023 08:38:39,22.18,12431.36
23,07/14/2023 09:38:39,28.83,28508.16
24,07/14/2023 10:38:39,36.63,30197.76
25,07/14/2023 11:38:39,38.44,64962.56
26,07/14/2023 12:38:39,38.18,32768.00
27,07/14/2023 13:38:39,36.16,17694.72
28,07/14/2023 14:38:39,40.15,78417.92
29,07/14/2023 15:38:39,38.78,29952.00
30,07/14/2023 16:38:39,39.55,18764.80
31,07/14/2023 17:38:39,35.78,31395.84
32,07/14/2023 18:38:39,33.29,21207.04
33,07/14/2023 19:38:39,28.05,5880.32
34,07/14/2023 20:38:39,18.79,376.32
35,07/14/2023 21:38:39,19.65,0.00
36,07/14/2023 22:38:39,19.52,0.00
37,07/14/2023 23:38:39,19.43,0.00
38,07/15/2023 00:38:39,16.86,0.00
39,07/15/2023 01:38:39,15.87,0.00
40,07/15/2023 02:38:39,17.54,0.00
41,07/15/2023 03:38:39,17.63,0.00
42,07/15/2023 04:38:39,16.64,0.00
43,07/15/2023 05:38:39,16.64,222.80
44,07/15/2023 06:38:39,19.86,8883.20
45,07/15/2023 07:38:39,23.16,12016.64
46,07/15/2023 08:38:39,30.50,27678.72
47,07/15/2023 09:38:39,36.25,43008.00
48,07/15/2023 10:38:39,37.79,29839.36
49,07/15/2023 11:38:39,41.78,42496.00
50,07/15/2023 12:38:39,40.28,37355.52
51,07/15/2023 13:38:39,39.38,29511.68
52,07/15/2023 14:38:39,46.24,55091.20
53,07/15/2023 15:38:39,37.66,12733.44
54,07/15/2023 16:38:39,36.46,21145.60
55,07/15/2023 17:38:39,37.96,28835.84
56,07/15/2023 18:38:39,35.26,17131.52
57,07/15/2023 19:38:39,26.17,2281.60
58,07/15/2023 20:38:39,23.51,139.64
59,07/15/2023 21:38:39,22.13,0.00
60,07/15/2023 22:38:39,22.31,0.00
61,07/15/2023 23:38:39,21.62,0.00
62,07/16/2023 00:38:39,23.21,0.00
63,07/16/2023 01:38:39,19.90,0.00
64,07/16/2023 02:38:39,19.13,0.00
65,07/16/2023 03:38:39,18.92,0.00
66,07/16/2023 04:38:39,18.87,0.00
67,07/16/2023 05:38:39,18.70,86.64
68,07/16/2023 06:38:39,19.13,1212.16
69,07/16/2023 07:38:39,24.02,15160.32
70,07/16/2023 08:38:39,27.45,21473.28
71,07/16/2023 09:38:39,26.94,16327.68
72,07/16/2023 10:38:39,26.30,10772.48
73,07/16/2023 11:38:39,23.25,5934.08
74,07/16/2023 12:38:39,26.04,16327.68
75,07/16/2023 13:38:39,38.31,32174.08
76,07/16/2023 14:38:39,34.88,15503.36
77,07/16/2023 15:38:39,41.48,55193.60
78,07/16/2023 16:38:39,35.78,28241.92
79,07/16/2023 17:38:39,34.06,26204.16
80,07/16/2023 18:38:39,31.49,15528.96
81,07/16/2023 19:38:39,26.21,4542.72
82,07/16/2023 20:38:39,18.40,264.64
83,07/16/2023 21:38:39,17.11,0.00
84,07/16/2023 22:38:39,19.56,0.00
85,07/16/2023 23:38:39,18.62,0.00
86,07/17/2023 00:38:39,15.27,0.00
87,07/17/2023 01:38:39,14.63,0.00
88,07/17/2023 02:38:39,14.63,0.00
89,07/17/2023 03:38:39,14.24,0.00
90,07/17/2023 04:38:39,15.31,0.00
91,07/17/2023 05:38:39,14.20,138.36
92,07/17/2023 06:38:39,16.99,3271.68
93,07/17/2023 07:38:39,20.33,5212.16
94,07/17/2023 08:38:39,21.53,13798.40
95,07/17/2023 09:38:39,29.90,30832.64
96,07/17/2023 10:38:39,36.63,31703.04
97,07/17/2023 11:38:39,36.03,25518.08
98,07/17/2023 12:38:39,38.14,33955.84
99,07/17/2023 13:38:39,39.94,40048.64
100,07/17/2023 14:38:39,42.64,30392.32
101,07/17/2023 15:38:39,42.13,41902.08
102,07/17/2023 16:38:39,36.98,24811.52
103,07/17/2023 17:38:39,34.49,21401.60
104,07/17/2023 18:38:39,27.80,6382.08
105,07/17/2023 19:38:39,22.82,2198.40
106,07/17/2023 20:38:39,20.59,155.44
107,07/17/2023 21:38:39,19.99,0.00
108,07/17/2023 22:38:39,20.80,0.00
109,07/17/2023 23:38:39,20.46,0.00
110,07/18/2023 00:38:39,20.03,0.00
111,07/18/2023 01:38:39,19.69,0.00
112,07/18/2023 02:38:39,17.97,0.00
113,07/18/2023 03:38:39,17.84,0.00
114,07/18/2023 04:38:39,16.69,0.00
115,07/18/2023 05:38:39,15.14,150.40
116,07/18/2023 06:38:39,18.14,2574.72
117,07/18/2023 07:38:39,21.66,8581.12
118,07/18/2023 08:38:39,28.87,20490.24
119,07/18/2023 09:38:39,27.71,17464.32
120,07/18/2023 10:38:39,37.88,26542.08
